compiler,tag,flags,target,run,time_ms
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,9,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",sisd,10,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,1,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,2,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,3,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,4,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,5,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,6,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,7,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,8,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,9,50.000
gcc,gcc_O3_unroll_native,"-O3 -funroll-loops -march=native -mtune=native",simd,10,80.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,1,60.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,2,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,3,60.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,4,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,5,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,6,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,7,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,8,60.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,9,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",sisd,10,60.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,1,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,2,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,3,50.000
gcc,gcc_O3_vec,"-O3 -ftree-vectorize",simd,4,50.000
